Amethyst, 7–lower in impure varieties, 2.65 constant; variable in impure varieties
Apophyllite, 4.5 - 5, 2.3 – 2.4
Stilbite, 3+1⁄2 to 4, 2.12 to 2.22
Beryl, 7.5 – 8, 2.63 - 2.92
Beryl, 7.5 – 8, 2.63 - 2.92
Tourmaline, 7.0–7.5, 3.06+0.20−0.06[1]
Orthoclase, 6 (defining mineral), 2.55–2.63
Arsenopyrite, 5.5 - 6, 5.9 - 6.2
Aurichalcite, 2, 3.96
Calcite, 3 (defining mineral), 2.71
Austinite, 4 to 4.5, 4.12
Ametrine, 7, 2.65
Amethyst, 7–lower in impure varieties, 2.65 constant; variable in impure varieties
Quartz, 7 – lower in impure varieties (defining mineral), 2.65; variable 2.59–2.63 in impure varieties
Abelsonite, 2–3, 1.45
Abenakiite-(Ce), 4-5, 3.21 (meas.), 3.27 (calc.)
Abernathyite, 2.5–3, 3.32 (measured) 3.572 (calculated)
Abhurite, 2, 4.42
Abswurmbachite, 6.5, 4.96 g/cm3
Acanthite, 2.0 - 2.5, 7.20 - 7.22
Achávalite, 2.5, 6.53
Actinolite, 5–6, 3.00 (+0.10, -0.05)
Acuminite, 3.5, 3.295
Adamite, 3.5, 4.32–4.48 measured
Adamsite-(Y), 3.0, None
Adelite, 5, 3.73 to 3.79
Admontite, 2 - 3, None
Aegirine, 6, 3.50 - 3.60
Aenigmatite, 5.5, 3.81
Aerinite, 3, 2.48
Aerugite, 4, 5.85 - 5.95
Aeschynite-(Ce), 5 - 6, 4.52
Afghanite, 5.5 - 6, 2.55 - 2.65
Afwillite, 3–4, 2.630
Agardite, 3–4, 3.7 (measured), 3.775 (calculated)
Agrellite, 5.5, 2.88
Aguilarite, 2.5[3] 1–1.5[2], None
Aheylite, 5 to 5.5, 2.84
Aikinite, 2-2.5, 6.1–6.8, Average = 6.44
Ajoite, 3+1⁄2[2], 2.96
Åkermanite, 5 - 6, 2.944
Akrochordite, 3+1⁄2, None
Aksaite, 2.5, None
Alabandite, 3.5 to 4, 4.053
Alacránite, 1.5, 3.4 - 3.46
Alamosite, 4.5, 6.49
Alarsite, 5-5.5, 3.32.
Albite, 6–6.5, 2.60–2.65
Aldermanite, 2, None
Aleksite, 2.5, 7.80
Alforsite, 5, 4.73 - 4.80
Algodonite, 4, 8.38 (measured), 8.72 (calculated)
Aliettite, 1–2, None
Allabogdanite, 5-6, 7.11
Allactite, 4.5, 3.83 (meas.), 3.94 (calc.)
Allanite, 5.5–6, 3.5–4.2
Allanpringite, 3, 2.54 (meas.), 2.583 (calc.)
Allargentum, 4, 10.0 (meas.), 10.12 (calc.)
Alleghanyite, 5–6, 4 (meas.), 4.11 (calc.)
Alluaivite, 5-6, None
Alluaudite, 5 - 5.5, 3.4 - 3.5
Almandine, 7 - 7.5, 4.05 (+.25, -.12)[2]
Alstonite, 4 to 4.5, 3.70
Altaite, 2.5 - 3, 8.2 - 8.3
Alum-(K), 2-2.5, 1.757
Aluminite, 1 - 2, 1.66–1.82
Aluminium, 2.75, None
Alunite, 3.5 – 4, 2.6 – 2.9
Alunogen, 1.5 -2, 1.72 - 1.77
Amarantite, 2+1⁄2, 2.189 - 2.286
Amblygonite, 5.5 - 6[2], 2.98 - 3.11
Amesite, 2.5-3, 2.77
Analcime, 5 - 5.5, 2.24 - 2.29
Anandite, 3 – 4, 3.94
Anapaite, 3.5, 2.8
Anatase, 5.5–6, 3.79–3.97
Ancylite, 4–4.5, None
Andalusite, 6.5 - 7.5, 3.17 (+/- .04)
Andersonite, 2.5, 2.8
Andesine, 6 – 6.5, 2.66 – 2.68
Andorite, 3 - 3.5, 5.33 - 5.37
Andradite, 6.5 to 7, 3.859 calculated; 3.8–3.9 measured
Andyrobertsite, 3, 4
Anglesite, 2.5–3.0, 6.3
Anhydrite, 3.5, 2.97
Ankerite, 3.5–4, 2.93–3.10
Annabergite, 1.5 – 2.5, 3.07
Annite, 2.5 - 3, approximately 3.3
Anorthite, 6, 2.72–2.75
Anorthoclase, 6, 2.57 - 2.60
Antarcticite, 2 - 3, 1.715
Anthonyite, 2, None
Anthophyllite, 5.5 – 6, 2.85 – 3.2
Antigorite, 3.5-4, 2.5-2.6
Antimony, 3.0, None
Antlerite, 3 to 3.5, 3.9
Apachite, 2, 3.37
Apatite, 5[3] (defining mineral), 3.16–3.22[2]
Aphthitalite, 3, 2.66–2.71
Apophyllite, 4.5 - 5, 2.3 – 2.4
Aragonite, 3.5 - 4, 2.94
Arcanite, 2, 2.66
Ardaite, 2.5-3, None
Arfvedsonite, 5–6, 3.3–3.5
Argutite, 6-7, 6.28 calculated
Argyrodite, 2.5, 6.2-6.5
Armalcolite, <5, 4.64 g/cm3 (measured)
Arsendescloizite, 4, 6.57
Arsenic, 3.5, None
Arseniosiderite, 4.5, 3.5–3.9, average = 3.7
Arsenoclasite, 5–6[1], None
Arsenolite, 1.5, 3.87
Arsenopyrite, 5.5 - 6, 5.9 - 6.2
Arthurite, 3-4, None
Artinite, 2.5, 2.01 - 2.03
Asisite, 3+1⁄2, None
Astrophyllite, 3-4, 3.2–3.4
Atacamite, 3 - 3.5, 3.745 – 3.776
Athabascaite, 2.5, 6.59 (calculated)
Augelite, 4 - 4.5, 2.696
Augite, 5.5 to 6, 3.19–3.56
Aurichalcite, 2, 3.96
Auricupride, 3+1⁄2, None
Aurostibite, 3, 9.98
Austinite, 4 to 4.5, 4.12
Autunite, 2-2.5, 3.1-3.2
Avicennite, 2 [1], None
Awaruite, 5.5 -6, 7.8–8.65
Axinite, 6.0–7.5, 3.18–3.37
Azurite, 3.5 to 4, 3.773 (measured), 3.78 (calculated)
Agate, 6.5–7, 2.58–2.64
Chrysoberyl, 8.5, 3.5–3.84
Amazonite, 6-6.5, 2.56-2.58
Amethyst, 7–lower in impure varieties, 2.65 constant; variable in impure varieties
Ametrine, 7, 2.65
Ammolite, 3.5 - 4.5, usually about 2.70 (varies with mineral content)[1]
Grunerite, 5 - 6, 3.45
Beryl, 7.5 – 8, 2.63 - 2.92
Asbestos, 2.5.6.0, 2.4–3.3
Illite, 1 - 2, 2.6 - 2.9
Baryte, 3-3.5, 4.3–5
Benstonite, 3–4, None
Biotite, 2.5–3.0, 2.7–3.3[2]
Brookite, 5+1⁄2 to 6, 4.08 to 4.18
Babefphite, 3.5, 4.31
Babingtonite, 5.5 to 6, 3.3
Baddeleyite, 6.5, 5.5–6
Bakerite, 4+1⁄2, 2.88
Banalsite, 6.5, 3.065
Bannisterite, 4, 2.83 - 2.84
Baotite, 6, None
Bararite, 2.5, 2.152 (synthetic)
Baratovite, 5 - 6, 2.92
Barrerite, 3 - 4, 2.13
Barstowite, 3, None
Baryte, 3-3.5, 4.3–5
